customer_id,scenario,window_start,window_end,num_deposits,total_amount,transaction_ids
CUST_102615,1-Day Rapid Smurfing,2023-03-11 14:00:00,2023-03-12 14:00:00,2,92854.57,"['TXN_AACED51B65', 'TXN_C485D16666']"
CUST_102615,1-Day Rapid Smurfing,2023-03-12 13:00:00,2023-03-13 13:00:00,2,87206.6,"['TXN_C485D16666', 'TXN_B8E3ABEEFE']"
CUST_103058,1-Day Rapid Smurfing,2023-05-29 15:00:00,2023-05-30 15:00:00,2,72442.71,"['TXN_69C3B979AA', 'TXN_46962F0527']"
CUST_103265,1-Day Rapid Smurfing,2023-03-06 12:00:00,2023-03-07 12:00:00,2,62108.55,"['TXN_C8BD1907A2', 'TXN_ECD0A88442']"
CUST_103265,1-Day Rapid Smurfing,2023-03-08 14:00:00,2023-03-09 14:00:00,2,68471.48,"['TXN_589B9CA56A', 'TXN_47308B03CA']"
CUST_104045,1-Day Rapid Smurfing,2023-09-20 14:00:00,2023-09-21 14:00:00,2,84002.6,"['TXN_07150FE9D3', 'TXN_061DDA8E51']"
CUST_104103,1-Day Rapid Smurfing,2023-10-20 14:00:00,2023-10-21 14:00:00,2,107018.89,"['TXN_C91FFD1BFF', 'TXN_E336EAE732']"
CUST_104241,1-Day Rapid Smurfing,2023-06-16 11:00:00,2023-06-17 11:00:00,2,73102.21,"['TXN_36C97D41A0', 'TXN_F731CF250F']"
CUST_104241,1-Day Rapid Smurfing,2023-06-18 14:00:00,2023-06-19 14:00:00,2,85490.58,"['TXN_A4455C69FF', 'TXN_D768994A53']"
CUST_104371,1-Day Rapid Smurfing,2023-09-29 14:00:00,2023-09-30 14:00:00,2,90342.79,"['TXN_5BE230487F', 'TXN_8292F6973E']"
CUST_104371,1-Day Rapid Smurfing,2023-10-01 14:00:00,2023-10-02 14:00:00,2,81968.7,"['TXN_97CFDBEC2C', 'TXN_5608092F17']"
CUST_104521,1-Day Rapid Smurfing,2023-03-28 11:00:00,2023-03-29 11:00:00,2,89203.26,"['TXN_13C05CDCF8', 'TXN_87B23A7D5E']"
CUST_104521,1-Day Rapid Smurfing,2023-03-31 15:00:00,2023-04-01 15:00:00,2,79814.44,"['TXN_32D7695D4E', 'TXN_E6168D07C6']"
CUST_104521,1-Day Rapid Smurfing,2023-04-01 14:00:00,2023-04-02 14:00:00,2,77954.76,"['TXN_E6168D07C6', 'TXN_82A19B456E']"
CUST_104690,1-Day Rapid Smurfing,2023-05-25 11:00:00,2023-05-26 11:00:00,2,94717.09,"['TXN_465C8776C6', 'TXN_5FCC9BFA43']"
CUST_104690,1-Day Rapid Smurfing,2023-05-26 10:00:00,2023-05-27 10:00:00,2,93897.74,"['TXN_5FCC9BFA43', 'TXN_0AC4F82BFC']"
CUST_104690,1-Day Rapid Smurfing,2023-05-28 15:00:00,2023-05-29 15:00:00,2,76562.58,"['TXN_1D4583D3F3', 'TXN_BC50E7FD7C']"
CUST_104768,1-Day Rapid Smurfing,2023-08-22 14:00:00,2023-08-23 14:00:00,2,92160.14,"['TXN_97D13D72A5', 'TXN_499733B225']"
CUST_104768,1-Day Rapid Smurfing,2023-08-24 11:00:00,2023-08-25 11:00:00,2,82714.87,"['TXN_1350005A15', 'TXN_B45FD886D6']"
CUST_105739,1-Day Rapid Smurfing,2023-05-06 12:00:00,2023-05-07 12:00:00,2,95648.17,"['TXN_62AEB93C65', 'TXN_7B426A73DD']"
CUST_106400,1-Day Rapid Smurfing,2023-05-24 15:00:00,2023-05-25 15:00:00,2,78179.11,"['TXN_E9DDE7ABCC', 'TXN_100F4AE494']"
CUST_106400,1-Day Rapid Smurfing,2023-05-25 14:00:00,2023-05-26 14:00:00,2,79283.69,"['TXN_100F4AE494', 'TXN_EF37D5FFC5']"
CUST_109004,1-Day Rapid Smurfing,2023-01-25 14:00:00,2023-01-26 14:00:00,2,98093.46,"['TXN_337E426874', 'TXN_02BDE6EE68']"
CUST_109004,1-Day Rapid Smurfing,2023-01-28 15:00:00,2023-01-29 15:00:00,2,79426.67,"['TXN_6249A979E5', 'TXN_C49ED0C5FC']"
CUST_109004,1-Day Rapid Smurfing,2023-01-29 13:00:00,2023-01-30 13:00:00,2,90776.34,"['TXN_C49ED0C5FC', 'TXN_48D7CC6589']"
CUST_109313,1-Day Rapid Smurfing,2023-10-03 12:00:00,2023-10-04 12:00:00,2,98382.02,"['TXN_9A4FDAB1F4', 'TXN_9D1C0B9F91']"
CUST_109985,1-Day Rapid Smurfing,2023-06-17 15:00:00,2023-06-18 15:00:00,2,76996.76,"['TXN_932483DC3F', 'TXN_BE309C72FE']"
CUST_109985,1-Day Rapid Smurfing,2023-06-19 15:00:00,2023-06-20 15:00:00,2,83519.19,"['TXN_85B10F17E0', 'TXN_EBD64E1C39']"
