customer_id,year_month,monthly_volume,monthly_txn_count,segment,peer_group,counterparty_entropy,log_volume,log_txn_count,log_entropy,z_volume,z_txn_count,z_entropy,composite_anomaly_score,is_anomaly
CUST_100000,2023-01,10301.8,8,retail,retail_Finance,1.1889434,9.240074,2.0794415416798357,0.173065,-1.4116094,-1.6646453342633643,0.7332541,1.2698362735177808,False
CUST_100000,2023-02,8399.76,11,retail,retail_Finance,1.0273511,9.035958,2.3978952727983707,0.026983783,-1.5853866,-1.2143550250568378,0.20250766,1.0007497729075745,False
CUST_100000,2023-03,10301.801,6,retail,retail_Finance,0.7356345,9.240074,1.791759469228055,-0.30702186,-1.4116094,-2.0714248337607937,-0.7556296,1.412887948031603,False
CUST_100000,2023-04,7623.78,11,retail,retail_Finance,0.79858917,8.939028,2.3978952727983707,-0.22490865,-1.66791,-1.2143550250568378,-0.5488563,1.1437071076246894,False
CUST_100000,2023-05,7923.7803,11,retail,retail_Finance,0.97718346,8.977624,2.3978952727983707,-0.023080865,-1.6350505,-1.2143550250568378,0.037732948,0.9623795026255445,False
CUST_100000,2023-06,7927.1504,11,retail,retail_Finance,0.8138738,8.978049,2.3978952727983707,-0.20594993,-1.6346884,-1.2143550250568378,-0.4986542,1.1158991963876084,False
CUST_100000,2023-07,10301.8,8,retail,retail_Finance,1.2054017,9.240074,2.0794415416798357,0.18681283,-1.4116094,-1.6646453342633643,0.7873109,1.2878552146023245,False
CUST_100000,2023-08,9751.3,11,retail,retail_Finance,1.0990541,9.185156,2.3978952727983707,0.09444989,-1.458365,-1.2143550250568378,0.43801454,1.0369115085614518,False
CUST_100000,2023-09,10301.8,5,retail,retail_Finance,1.0098956,9.240074,1.6094379124341003,0.009846923,-1.4116094,-2.3292256448720527,0.14517517,1.2953367433301155,False
CUST_100000,2023-10,10301.8,7,retail,retail_Finance,1.1041857,9.240074,1.9459101490553132,0.09910814,-1.4116094,-1.8534573537127248,0.45486918,1.2399786486233628,False
CUST_100000,2023-11,7990.29,11,retail,retail_Finance,0.8102188,8.985982,2.3978952727983707,-0.21045092,-1.6279348,-1.2143550250568378,-0.510659,1.1176496059907273,False
CUST_100000,2023-12,9293.03,11,retail,retail_Finance,1.2353212,9.13702,2.3978952727983707,0.211331,-1.4993461,-1.2143550250568378,0.8855809,1.1997606864782966,False
CUST_100001,2023-01,264018.47,22,retail,retail_Tech,0.12994978,12.483774,3.091042453358316,-2.0406072,1.3352152,-0.2785979749007863,-2.7349572,1.4495901346618547,False
CUST_100001,2023-02,267064.2,22,retail,retail_Tech,0.20427981,12.495244,3.091042453358316,-1.5882646,1.3450048,-0.2785979749007863,-2.493329,1.3723106066797788,False
CUST_100001,2023-03,264522.1,22,retail,retail_Tech,0.13386077,12.48568,3.091042453358316,-2.010955,1.3368416,-0.2785979749007863,-2.7222438,1.4458944480036313,False
CUST_100001,2023-04,264608.34,22,retail,retail_Tech,0.14118029,12.486006,3.091042453358316,-1.9577175,1.3371199,-0.2785979749007863,-2.6984499,1.4380559206420793,False
CUST_100001,2023-05,265069.53,22,retail,retail_Tech,0.15037856,12.487747,3.091042453358316,-1.8945994,1.3386062,-0.2785979749007863,-2.6685483,1.428584186277252,False
CUST_100001,2023-06,272764.3,22,retail,retail_Tech,0.29657832,12.516363,3.091042453358316,-1.215444,1.3630301,-0.2785979749007863,-2.1932895,1.2783058564280088,False
CUST_100001,2023-07,266958.06,22,retail,retail_Tech,0.19867276,12.494847,3.091042453358316,-1.6160963,1.3446662,-0.2785979749007863,-2.5115561,1.3782734553431089,False
