customer_id,scenario,window_start,window_end,num_deposits,total_amount,transaction_ids
CUST_100239,7-Day Standard Structuring,2023-06-29 13:00:00,2023-07-06 13:00:00,4,53956.69,"['TXN_92DB34CDF6', 'TXN_5554855B9C', 'TXN_FC65E46D29', 'TXN_33C9E72D3B']"
CUST_100302,7-Day Standard Structuring,2023-08-30 10:00:00,2023-09-06 10:00:00,4,68829.41,"['TXN_6CB4E64AC0', 'TXN_D415C011CB', 'TXN_F40538B0B7', 'TXN_57433CBB10']"
CUST_100302,7-Day Standard Structuring,2023-08-31 14:00:00,2023-09-07 14:00:00,3,50992.23,"['TXN_D415C011CB', 'TXN_F40538B0B7', 'TXN_57433CBB10']"
CUST_100330,7-Day Standard Structuring,2023-07-29 10:00:00,2023-08-05 10:00:00,4,53355.73,"['TXN_89DA997838', 'TXN_3B09EAD3CF', 'TXN_5020775748', 'TXN_E8BCF28BD7']"
CUST_100603,7-Day Standard Structuring,2023-06-14 10:00:00,2023-06-21 10:00:00,4,77252.29,"['TXN_09109069B7', 'TXN_653DA7F397', 'TXN_B376AA24AF', 'TXN_7B48902387']"
CUST_100603,7-Day Standard Structuring,2023-06-15 12:00:00,2023-06-22 12:00:00,3,58441.03,"['TXN_653DA7F397', 'TXN_B376AA24AF', 'TXN_7B48902387']"
CUST_100694,7-Day Standard Structuring,2023-07-25 13:00:00,2023-08-01 13:00:00,5,59426.52,"['TXN_2D8F86097E', 'TXN_EB003EA377', 'TXN_0F569A6107', 'TXN_126FFF99C3', 'TXN_5C5E245152']"
CUST_100827,7-Day Standard Structuring,2023-03-30 12:00:00,2023-04-06 12:00:00,4,56191.75,"['TXN_2934F94A1A', 'TXN_69951B7B8A', 'TXN_F29664F9DE', 'TXN_658ECCF1E5']"
CUST_100827,7-Day Standard Structuring,2023-06-25 10:00:00,2023-07-02 10:00:00,5,67377.06,"['TXN_5927BB883B', 'TXN_5CBBC55E0B', 'TXN_446954E841', 'TXN_885D754607', 'TXN_B007FB5849']"
CUST_100827,7-Day Standard Structuring,2023-06-26 12:00:00,2023-07-03 12:00:00,4,53656.5,"['TXN_5CBBC55E0B', 'TXN_446954E841', 'TXN_885D754607', 'TXN_B007FB5849']"
CUST_100847,7-Day Standard Structuring,2023-05-19 12:00:00,2023-05-26 12:00:00,5,52539.28,"['TXN_2D52036FF7', 'TXN_FBEA1FCFD4', 'TXN_3FBAD391FD', 'TXN_337F9F4FBC', 'TXN_48D20A71D4']"
CUST_100850,7-Day Standard Structuring,2023-04-04 09:00:00,2023-04-11 09:00:00,4,78028.51,"['TXN_4D6963C502', 'TXN_DFDDF79B84', 'TXN_ED5B614011', 'TXN_9AD1FAC550']"
